total_size,draw,method,accuracy
70,6,LOGIS,0.7428571428571429
70,6,SVM,0.8142857142857143
70,6,KNN,0.7428571428571428
70,6,RF,0.7857142857142858
70,6,XGB,0.7571428571428572
70,7,LOGIS,0.7285714285714285
70,7,SVM,0.8142857142857144
70,7,KNN,0.7285714285714286
70,7,RF,0.7428571428571428
70,7,XGB,0.7428571428571429
70,8,LOGIS,0.8
70,8,SVM,0.7714285714285715
70,8,KNN,0.8285714285714285
70,8,RF,0.8142857142857143
70,8,XGB,0.7428571428571429
70,9,LOGIS,0.7142857142857143
70,9,SVM,0.7857142857142858
70,9,KNN,0.7428571428571429
70,9,RF,0.7428571428571429
70,9,XGB,0.6857142857142857
70,10,LOGIS,0.8285714285714286
70,10,SVM,0.7999999999999999
70,10,KNN,0.8
70,10,RF,0.8142857142857143
70,10,XGB,0.8714285714285716
70,11,LOGIS,0.7285714285714285
70,11,SVM,0.7285714285714285
70,11,KNN,0.6857142857142857
70,11,RF,0.7142857142857142
70,11,XGB,0.6714285714285715
70,12,LOGIS,0.8142857142857143
70,12,SVM,0.8142857142857143
70,12,KNN,0.7571428571428571
70,12,RF,0.8142857142857143
70,12,XGB,0.7857142857142858
70,13,LOGIS,0.7857142857142857
70,13,SVM,0.8571428571428571
70,13,KNN,0.8142857142857143
70,13,RF,0.8428571428571429
70,13,XGB,0.8
70,14,LOGIS,0.7142857142857142
70,14,SVM,0.7285714285714285
70,14,KNN,0.7
70,14,RF,0.7285714285714285
70,14,XGB,0.7571428571428572
70,15,LOGIS,0.757142857142857
70,15,SVM,0.6571428571428573
70,15,KNN,0.7
70,15,RF,0.6857142857142857
70,15,XGB,0.6857142857142857
70,16,LOGIS,0.7428571428571429
70,16,SVM,0.7000000000000001
70,16,KNN,0.7142857142857142
70,16,RF,0.7285714285714285
70,16,XGB,0.6571428571428571
70,17,LOGIS,0.7
70,17,SVM,0.7714285714285715
70,17,KNN,0.7428571428571428
70,17,RF,0.7428571428571429
70,17,XGB,0.7428571428571429
70,18,LOGIS,0.7714285714285715
70,18,SVM,0.8
70,18,KNN,0.7571428571428572
70,18,RF,0.8
70,18,XGB,0.7428571428571429
70,19,LOGIS,0.7428571428571429
70,19,SVM,0.8142857142857143
70,19,KNN,0.7428571428571428
70,19,RF,0.7571428571428572
70,19,XGB,0.8
70,20,LOGIS,0.7571428571428571
70,20,SVM,0.8571428571428571
70,20,KNN,0.7714285714285716
70,20,RF,0.8285714285714286
70,20,XGB,0.7142857142857142
70,21,LOGIS,0.6857142857142857
70,21,SVM,0.7428571428571429
70,21,KNN,0.7571428571428571
70,21,RF,0.7142857142857142
70,21,XGB,0.7142857142857142
70,22,LOGIS,0.7142857142857142
70,22,SVM,0.7857142857142858
70,22,KNN,0.7428571428571428
70,22,RF,0.8285714285714286
70,22,XGB,0.7
70,23,LOGIS,0.8428571428571429
70,23,SVM,0.8
70,23,KNN,0.7714285714285715
70,23,RF,0.7857142857142858
70,23,XGB,0.7714285714285715
70,24,LOGIS,0.7285714285714285
70,24,SVM,0.8285714285714286
70,24,KNN,0.8
70,24,RF,0.8
70,24,XGB,0.6714285714285715
70,25,LOGIS,0.7285714285714285
70,25,SVM,0.8571428571428571
70,25,KNN,0.7428571428571428
70,25,RF,0.8142857142857143
70,25,XGB,0.7571428571428571
70,26,LOGIS,0.6571428571428571
70,26,SVM,0.6714285714285715
70,26,KNN,0.6857142857142857
70,26,RF,0.6857142857142857
70,26,XGB,0.7285714285714285
70,27,LOGIS,0.7428571428571429
70,27,SVM,0.7571428571428571
70,27,KNN,0.7142857142857142
70,27,RF,0.7285714285714285
70,27,XGB,0.7571428571428572
70,28,LOGIS,0.7857142857142857
70,28,SVM,0.7999999999999999
70,28,KNN,0.7714285714285715
70,28,RF,0.7714285714285715
70,28,XGB,0.7285714285714285
