total_size,draw,method,f1_score
35,11,XGB,0.769047619047619
35,12,LOGIS,0.8845238095238095
35,12,SVM,0.8845238095238095
35,12,KNN,0.7458730158730159
35,12,RF,0.6914285714285714
35,12,XGB,0.6640476190476191
35,13,LOGIS,0.6483333333333333
35,13,SVM,0.6447619047619046
35,13,KNN,0.6538888888888887
35,13,RF,0.6214285714285713
35,13,XGB,0.6797619047619047
35,14,LOGIS,0.7962698412698413
35,14,SVM,0.7962698412698413
35,14,KNN,0.6655555555555555
35,14,RF,0.7377777777777779
35,14,XGB,0.5952380952380951
35,15,LOGIS,0.7107142857142856
35,15,SVM,0.7277777777777776
35,15,KNN,0.6383333333333333
35,15,RF,0.7264285714285714
35,15,XGB,0.7988095238095239
35,16,LOGIS,0.8571428571428571
35,16,SVM,0.9714285714285712
35,16,KNN,0.7861111111111111
35,16,RF,0.7847619047619047
35,16,XGB,0.8845238095238095
35,17,LOGIS,0.795079365079365
35,17,SVM,0.8534126984126983
35,17,KNN,0.6887301587301586
35,17,RF,0.8184126984126985
35,17,XGB,0.5107142857142857
35,18,LOGIS,0.6704761904761904
35,18,SVM,0.629047619047619
35,18,KNN,0.6772222222222222
35,18,RF,0.7316666666666667
35,18,XGB,0.6745238095238095
35,19,LOGIS,0.7638095238095238
35,19,SVM,0.7264285714285714
35,19,KNN,0.4898484848484848
35,19,RF,0.6292063492063492
35,19,XGB,0.5264285714285715
35,20,LOGIS,0.9403174603174604
35,20,SVM,0.881984126984127
35,20,KNN,0.5916666666666666
35,20,RF,0.664047619047619
35,20,XGB,0.5886507936507936
35,21,LOGIS,0.8845238095238095
35,21,SVM,0.913095238095238
35,21,KNN,0.7276190476190475
35,21,RF,0.7937301587301588
35,21,XGB,0.7069841269841269
35,22,LOGIS,0.7083333333333333
35,22,SVM,0.7355555555555554
35,22,KNN,0.5292857142857142
35,22,RF,0.6381746031746032
35,22,XGB,0.7549999999999999
35,23,LOGIS,0.8197619047619048
35,23,SVM,0.913095238095238
35,23,KNN,0.5642857142857143
35,23,RF,0.7653174603174604
35,23,XGB,0.6807936507936507
35,24,LOGIS,0.9117460317460316
35,24,SVM,0.8806349206349205
35,24,KNN,0.7433333333333334
35,24,RF,0.8534126984126983
35,24,XGB,0.7925396825396824
35,25,LOGIS,0.9142857142857144
35,25,SVM,0.9714285714285716
35,25,KNN,0.7847619047619048
35,25,RF,0.8211111111111112
35,25,XGB,0.8197619047619048
35,26,LOGIS,0.968888888888889
35,26,SVM,0.9428571428571428
35,26,KNN,0.7783333333333333
35,26,RF,0.881984126984127
35,26,XGB,0.7653174603174604
35,27,LOGIS,0.7042857142857143
35,27,SVM,0.7937301587301587
35,27,KNN,0.7353968253968255
35,27,RF,0.7315079365079364
35,27,XGB,0.5952380952380952
35,28,LOGIS,0.7988095238095237
35,28,SVM,0.8236507936507935
35,28,KNN,0.7938888888888889
35,28,RF,0.7834126984126983
35,28,XGB,0.6483333333333332
35,29,LOGIS,0.968888888888889
35,29,SVM,0.968888888888889
35,29,KNN,0.9377777777777778
35,29,RF,0.9403174603174604
35,29,XGB,0.8534126984126985
42,0,LOGIS,0.8539682539682539
42,0,SVM,0.8253968253968254
42,0,KNN,0.6071395271395272
42,0,RF,0.7317027417027417
42,0,XGB,0.6814285714285714
42,1,LOGIS,0.728917748917749
42,1,SVM,0.747012987012987
42,1,KNN,0.7492857142857143
42,1,RF,0.7487662337662337
42,1,XGB,0.6973304473304474
42,2,LOGIS,0.9036075036075036
42,2,SVM,0.9042063492063492
42,2,KNN,0.7546031746031746
42,2,RF,0.779047619047619
42,2,XGB,0.4676984126984127
42,3,LOGIS,0.6629365079365079
42,3,SVM,0.6423992673992674
42,3,KNN,0.6132867132867134
42,3,RF,0.6725757575757576
42,3,XGB,0.6298701298701299
42,4,LOGIS,0.7544444444444445
42,4,SVM,0.7766666666666666
42,4,KNN,0.7908658008658008
42,4,RF,0.7727777777777778
42,4,XGB,0.7024458874458874
42,5,LOGIS,0.95
42,5,SVM,0.95
42,5,KNN,0.7671428571428571
42,5,RF,0.775036075036075
42,5,XGB,0.7346031746031746
42,6,LOGIS,0.7296031746031746
42,6,SVM,0.7483333333333333
42,6,KNN,0.7193506493506494
42,6,RF,0.7034126984126984
42,6,XGB,0.7242424242424242
42,7,LOGIS,0.7562698412698412
42,7,SVM,0.7562698412698412
42,7,KNN,0.6900000000000001
42,7,RF,0.76
42,7,XGB,0.6832034632034633
42,8,LOGIS,0.9296031746031744
42,8,SVM,0.9062265512265512
42,8,KNN,0.6449206349206349
42,8,RF,0.7042424242424243
42,8,XGB,0.650079365079365
42,9,LOGIS,0.9036075036075036
42,9,SVM,0.8782106782106782
42,9,KNN,0.800981240981241
42,9,RF,0.7299494949494949
42,9,XGB,0.71
42,10,LOGIS,0.8286507936507936
42,10,SVM,0.8022222222222222
42,10,KNN,0.6889971139971139
42,10,RF,0.7367460317460318
42,10,XGB,0.7100793650793651
42,11,LOGIS,0.8042063492063491
42,11,SVM,0.7584126984126984
42,11,KNN,0.6943939393939393
42,11,RF,0.6778066378066379
42,11,XGB,0.7562265512265512
42,12,LOGIS,0.8503535353535353
42,12,SVM,0.7945598845598846
42,12,KNN,0.7441125541125542
42,12,RF,0.81995670995671
42,12,XGB,0.8256709956709957
42,13,LOGIS,0.7116161616161616
42,13,SVM,0.7596031746031746
42,13,KNN,0.5565584415584416
42,13,RF,0.5508225108225109
42,13,XGB,0.5572727272727273
42,14,LOGIS,0.7838095238095238
42,14,SVM,0.7493506493506494
42,14,KNN,0.795945165945166
42,14,RF,0.7314502164502165
42,14,XGB,0.7158730158730159
42,15,LOGIS,0.7201154401154402
42,15,SVM,0.7213492063492064
42,15,KNN,0.7598268398268397
42,15,RF,0.6668398268398269
42,15,XGB,0.6573559773559774
42,16,LOGIS,0.8457142857142858
42,16,SVM,0.8699567099567099
42,16,KNN,0.7048196248196248
42,16,RF,0.8224963924963925
42,16,XGB,0.6846031746031745
42,17,LOGIS,0.7748773448773448
42,17,SVM,0.8095238095238095
42,17,KNN,0.5857109557109558
42,17,RF,0.6861399711399712
42,17,XGB,0.6943578643578643
42,18,LOGIS,0.9296031746031744
42,18,SVM,0.8312265512265512
42,18,KNN,0.7729365079365079
42,18,RF,0.8265367965367965
42,18,XGB,0.66
42,19,LOGIS,0.7988455988455988
42,19,SVM,0.7912265512265513
42,19,KNN,0.7146753246753247
42,19,RF,0.7737229437229437
42,19,XGB,0.6629365079365079
42,20,LOGIS,0.8115873015873015
42,20,SVM,0.8115873015873015
42,20,KNN,0.8274963924963924
42,20,RF,0.7722005772005772
42,20,XGB,0.7592063492063492
42,21,LOGIS,0.8068542568542568
